iter	AUC	Logloss
303	0.804594636	0.539631705
304	0.8046641946	0.539564974
305	0.8047290444	0.5394660603
306	0.8048098087	0.5393975864
307	0.8048813343	0.5393141105
308	0.8049685955	0.5392363615
309	0.8050282001	0.5391523876
310	0.8051023781	0.5390684759
311	0.8051726222	0.5389838172
312	0.8052552342	0.5389015241
313	0.8052991033	0.5388403333
314	0.8054221272	0.5387285963
315	0.8055010438	0.5386375882
316	0.805562377	0.5385485099
317	0.8056749403	0.5384370842
318	0.8057564199	0.5383495621
319	0.8058099747	0.5382959657
320	0.8058410287	0.5382393813
321	0.8059222698	0.5381397829
322	0.805950582	0.538041056
323	0.8060299158	0.537946313
324	0.8061078787	0.5378703692
325	0.8061751723	0.5378085559
326	0.8062257171	0.5377490458
327	0.8062961102	0.5376686824
328	0.8063806891	0.5375886924
329	0.8064499497	0.5375011703
330	0.806520313	0.5374121542
331	0.8065875173	0.5373392606
332	0.806647718	0.5372612626
333	0.8067001998	0.5371717485
334	0.8067861199	0.5370894553
335	0.8068608046	0.5370084071
336	0.8069534302	0.5369164031
337	0.80701226	0.5368285697
338	0.8071001172	0.5367421681
339	0.8071691096	0.5366634853
340	0.8072595	0.536558409
341	0.8073099852	0.5365026961
342	0.8074050546	0.5363993628
343	0.8074625134	0.5363315736
344	0.8075654805	0.5361733366
345	0.8076192737	0.5360918527
346	0.8076736927	0.5360388787
347	0.8077020645	0.5359760695
348	0.8077942729	0.5358645815
349	0.8078578711	0.5357964811
350	0.8079255521	0.5357037301
351	0.8079881072	0.5356423525
352	0.8080787063	0.5355526517
353	0.808152914	0.5354698605
354	0.808192879	0.5353889368
355	0.8082669377	0.5353167902
356	0.8083303571	0.5352287701
357	0.8083848953	0.5351657118
358	0.8085063398	0.535048248
359	0.8085489869	0.5349625933
360	0.8086223006	0.5348616877
361	0.8086743951	0.534809772
362	0.8087435961	0.5347195732
363	0.8088099957	0.534635288
364	0.8088473678	0.5345766494
365	0.8088771999	0.5345158944
366	0.8089369535	0.5344128723
367	0.8090346158	0.5343137096
368	0.8090982437	0.5342487217
369	0.8091448545	0.5342062056
370	0.8092135191	0.5341519244
371	0.8092840314	0.534086314
372	0.8093336225	0.5340396895
373	0.8093845248	0.5339946834
374	0.8094262481	0.533942581
375	0.8095046282	0.533864583
376	0.8095602393	0.5338063802
377	0.8096249104	0.5337346071
378	0.8096894622	0.5336569825
379	0.8097567558	0.5335962898
380	0.8098112345	0.5335367175
381	0.8098470569	0.5334800709
382	0.8098996282	0.5334320146
383	0.8099346161	0.533361113
384	0.8099833727	0.5332668057
385	0.8100443482	0.5331950949
386	0.8101203442	0.53310639
387	0.8101908565	0.5330440165
388	0.8102469444	0.5329852535
389	0.8102859855	0.5329203277
390	0.8104012012	0.5328080928
391	0.8104695678	0.532743416
392	0.8105212748	0.5326765606
393	0.8105617166	0.5326112614
394	0.8106458187	0.53251241
395	0.8107032776	0.532431175
